ID_indiv X Y Env1 Env2 Env3 Env4 Env5 Env6 Env7 Env8 Env9 Env10 Env11 PSV1 PSV2
HX1 105.9652 34.0296 106 92 28 196 656 79 15 0.0655058738593196 0.83099113374938 6 128 0.14935188704062 -0.203803428500098
JD24 101.4489 29.2119 48 137 46 113 899 99 12 0.0781383023047343 4.09316022982071 -91.25 16 0.790718684110665 -0.617303459450852
JS39 99.8034 27.4391 72 115 46 130 876 96 22 0.192618896304752 1.35204842983504 -51.25 1 0.79064257449032 -0.616302902683369
JXS19 130.9656 45.3755 31 115 23 194 566 91 21 0.0756341704446307 2.02482232823929 13.875 1 -0.414865937610773 0.00957285821334819
JY23 130.4574 48.6551 6 122 21 195 592 93 19 0.0121854319266716 0.202238211548901 -1.5 1 -0.428673341019153 0.0171180462029843
JYX28 126.7209 42.292 24 130 24 187 841 93 33 0.0171995139410047 0.674927208140737 9.125 1 -0.382791596174604 -0.00841452078264092
KCL2 125.0931 41.0696 57 122 25 206 1046 103 40 0.0267465097368131 4.03892933918456 -53.25 8 -0.374049001561375 -0.0171150109397325
LBX31 130.8627 47.7191 22 115 21 199 603 90 20 0.0358859374230988 5.58661596595221 -11.875 16 -0.428798950665711 0.0176619549414457
LJP1 100.2572 27.1222 96 117 48 150 941 102 17 0.0756826594069941 0.426059745579832 24.625 1 0.7903357216759 -0.612304527752566
LLZ018 126.5507 41.8415 17 128 25 176 912 93 37 0.21556752738384 5.7007181611876 -37.5 16 -0.381891179826547 -0.00695988618497479
LM049 123.1261 52.8803 -46 153 25 155 466 100 14 0.0577256459149916 4.63249268385366 -8.25 16 -0.4162401619401 0.0407215147013296
LMS033 122.2915 48.3454 9 124 24 180 459 115 10 0.0181071270534789 4.06039638314406 -35.875 2 -0.341289042992483 0.0335107930996125
LS33 111.9603 36.8358 34 111 29 136 619 91 20 0.226682334175719 0.133983196846297 9.625 1 0.03807881442 -0.173130769790693
LXJ13 102.821 31.6495 91 134 43 163 789 80 17 0.0166961038112551 3.0084892220245 -217.375 32 0.599894096014685 -0.522122165667677
LYC11 110.4852 34.4317 61 73 23 155 856 68 39 0.111046687219088 1.3946998615015 59.75 1 0.11056703134366 -0.177895897976809
MDJ15 130.1711 44.5341 24 122 24 186 583 93 19 0.0176619914200099 2.57695526894398 27.125 1 -0.406601543318317 0.00201968339895935
MDJ2 130.1708 44.5343 24 122 24 186 583 93 19 0.0176619914200099 2.57695526894398 27.125 1 -0.408029472772213 0.00181652649097813
MG089 122.5113 52.4248 -49 156 25 150 471 100 15 0.0309447892277933 4.98300569518115 -40.625 128 -0.413940967378764 0.0422951308516598
MH024 122.2587 53.3786 -53 151 24 151 459 97 15 0.0540781249124273 4.78512891945534 -7.125 16 -0.412238944329654 0.043460022979458
MQX50 100.6272 34.6597 19 160 40 115 492 89 9 0.172422802772362 6.23048223438237 -80.625 64 0.172396391768587 -0.227407222261707
MSZ1 130.759 47.9875 20 117 21 201 596 92 20 0.0853667409748805 0.760561433123427 -33.375 1 -0.428116424650165 0.0163893109456396
PQG49 111.4306 37.89 25 118 29 132 542 96 15 0.094412077948357 5.82162259564035 68 16 0.0395412507142174 -0.168453798022589
QSLC51 129.8668 48.5909 -3 126 22 185 630 95 21 0.0386096891398903 5.58430640288108 -28.5 64 -0.427027565804689 0.0165876621877411
RTX16 101.0815 32.5793 48 164 44 129 676 89 14 0.104194942081923 1.9874840214767 -219.625 128 0.549568698158769 -0.487910998824387
SDX29 100.9266 31.9529 64 162 45 143 661 90 13 0.132995684721428 1.89696594285909 -179.875 4 0.577887216387172 -0.504125136543111
SLS16 102.3128 30.9248 59 120 40 131 840 82 20 0.140541228377539 0.496435431769609 -201.25 64 0.62670452518366 -0.538679322287873
SWP3 111.9715 35.4288 42 96 27 139 765 81 32 0.12342510591429 1.59266815490905 37.75 1 0.0599537536507748 -0.174635074125821
TZZ103 102.6141 36.9395 36 122 33 129 412 90 8 0.194415416911927 5.36635685400041 -113.25 16 0.116602261778379 -0.207381462141392
WCS21 127.3484 44.6561 34 130 24 205 646 101 19 0.00649482233155052 1.29582087193977 1.75 1 -0.395896794900432 -0.00012421301402097
WCS6 127.3468 44.6563 34 130 24 205 646 101 19 0.00649482233155052 1.29582087193977 1.75 1 -0.397370743656514 -0.00015504676612612
WEG19 129.516 43.6511 41 126 25 201 548 93 15 0.080197035352047 0.831901209667725 -36.625 1 -0.402111899467224 -0.00168445507705361
WEG26 129.516 43.6511 41 126 25 201 548 93 15 0.080197035352047 0.831901209667725 -36.625 1 -0.397883817410049 -6.40036447940202e-05
WLG024 124.4441 52.6535 -39 147 24 160 483 97 15 0.0265641450368 1.18887695353171 0.5 1 -0.417531731607725 0.0398375801886188
WT42 113.8389 38.831 16 117 29 142 595 99 23 0.107574876279229 4.27666014464707 65.125 16 -0.0272257884880739 -0.144323872860905
WTG28 126.0903 41.9269 25 128 25 185 912 93 36 0.118580568390301 1.9894050545996 -88.875 1 -0.382914017787371 -0.008541212997875
WY29 129.5483 43.0257 48 127 26 203 538 93 15 0.0883300270752189 1.52789324199878 4.75 1 -0.401718712052916 -0.00174994239927694
WYQ5 129.2231 48.0796 3 132 23 186 648 98 20 0.030620169576008 5.21617860638171 -10.125 16 -0.42012759620834 0.0187876739530809
XFL14 128.7583 42.5305 23 126 27 173 658 92 24 0.039226205374372 0.376922778314822 -53.875 64 -0.405649856979507 -0.00343649740139937
XFL2 128.7587 42.5303 20 126 27 169 669 92 24 0.126830431025252 4.74537399458009 -41.75 16 -0.404980810621283 -0.00213200873122224
XGLLP21 99.7441 27.8293 74 117 46 135 803 95 22 0.0231776250857483 5.94135261335272 3.75 16 0.790608712845853 -0.615861517906647
XGLLP7 99.7441 27.8293 74 117 46 135 803 95 22 0.0231776250857483 5.94135261335272 3.75 16 0.790655756721252 -0.616474713674143
XHC004 124.5655 49.9104 -16 148 25 173 505 107 11 0.0159970646957266 0.765926841221438 2 1 -0.405598100088127 0.0321130645276334
